country_name;country_code;continent;PLEES_00_1950;P_00_1950;LE_00_1950;E_00_1950;S_00_1950;PLEES_00_2010;P_00_2010;LE_00_2010;E_00_2010;S_00_2010;PLEES_45_2080;P_45_2080;LE_45_2080;E_45_2080;S_45_2080;PLEES_85_2080;P_85_2080;LE_85_2080;E_85_2080;S_85_2080
Dominican Republic;DOM;America;NaN;NaN;NaN;NaN;NaN;3.446598201613946;NaN;NaN;NaN;NaN;3.1287076952593966;0.592990909090909;0.9874521683847151;0.8663105092865493;0.6819541084972235;2.7255497057792817;0.449855172413793;0.981922794544188;0.7823813464353001;0.5113903923860006
Ecuador;ECU;America;NaN;NaN;NaN;NaN;NaN;3.4916641506619825;NaN;NaN;NaN;NaN;3.342566661659241;0.735;0.9903118857807286;0.9182418105816532;0.6990129652968593;2.912335574131932;0.55125;0.9870894545938428;0.8514832569288834;0.5225128626092058
Egypt, Arab Rep.;EGY;Africa;NaN;NaN;NaN;NaN;NaN;2.8439390745886373;NaN;NaN;NaN;NaN;2.7169787281853903;0.21404651162790703;0.9948215544232284;0.8001909461438698;0.7079197159903852;2.4831123969812268;0.2252727272727273;0.9916682106720428;0.7082301986625086;0.557941260373948
El Salvador;SLV;America;NaN;NaN;NaN;NaN;NaN;3.3617020136473887;NaN;NaN;NaN;NaN;3.1734317406875734;0.6631;0.9934329338233638;0.8567681316420495;0.6601306752221598;2.860668499172404;0.6631;0.990215781732131;0.7214267585982889;0.4859259588419838
Estonia;EST;Europe;NaN;NaN;NaN;NaN;NaN;3.5108158394943483;NaN;NaN;NaN;NaN;3.5121532763400563;0.9752222222222222;0.7638700558538204;0.9217178437200187;0.8513431545439949;3.0720857350314015;0.9752222222222222;0.5823076200214417;0.9206458512813291;0.5939100415064081
Ethiopia;ETH;Africa;NaN;NaN;NaN;NaN;NaN;2.555811950250715;NaN;NaN;NaN;NaN;2.5425919578536558;0.08099999999999996;0.9316056526116056;0.9386445148630704;0.5913417903789802;2.413434267676642;0.08099999999999996;0.9154159831467396;0.9171810648312174;0.499837219698685
Fiji;FJI;Oceania;NaN;NaN;NaN;NaN;NaN;3.2683858983078564;NaN;NaN;NaN;NaN;3.1843357021476146;0.642;0.9896071842065084;0.91259427487487;0.6401342430662361;3.0224352022659184;0.642;0.9852593429077005;0.8917502907691209;0.5034255685890969
Finland;FIN;Europe;NaN;NaN;NaN;NaN;NaN;3.685183276050984;NaN;NaN;NaN;NaN;3.6298157750816036;0.946;0.8942763316382567;0.914262686422152;0.8752767570211951;3.3842586765879608;0.9985555555555555;0.8140955196023796;0.9133511559445396;0.6582564454854859
France;FRA;Europe;NaN;NaN;NaN;NaN;NaN;3.7665085946206607;NaN;NaN;NaN;NaN;3.501511072678272;0.877030303030303;0.9629973799997146;0.8973822516119021;0.7641011380363522;3.091243634080344;0.72355;0.9422882344510852;0.8918112558857471;0.5335941437435123
Georgia;GEO;Asia;NaN;NaN;NaN;NaN;NaN;2.888088418180833;NaN;NaN;NaN;NaN;3.0380000488138665;0.5145;0.9586866933172415;0.8575755592553863;0.7072377962412387;2.7595030990864347;0.43827777777777777;0.9287680866808627;0.8380444212391558;0.5544128133886385
