,country_name,country_code,continent,P_00_1975,P_00_2010,P_45_2080,P_85_2080,LE_00_1975,LE_00_2010,LE_45_2080,LE_85_2080,E_00_1975,E_00_2010,E_45_2080,E_85_2080,S_00_1975,S_00_2010,S_45_2080,S_85_2080,PLEES_00_1975,PLEES_00_2010,PLEES_45_2080,PLEES_85_2080
43,Niger,NER,Africa,0.027527428572559,0.0607237756045224,-0.0013976260837442,0.0314790862450228,0.9988541939583988,0.9879271120304204,0.9479115523914388,0.9336257578782792,0.9858599996547484,0.987683481705554,0.980658065949075,0.9684313655834804,0.4421146713946969,0.2774500124943562,0.4283337915764512,0.4817903078114255,2.454356293580403,2.313784381834853,2.355505783833221,2.4153265175182077
44,Nigeria,NGA,Africa,0.1923184603095944,0.2151495105379049,0.1162324155020119,0.1262780776024686,0.9976970898827204,0.9936407238894156,0.9720841984337484,0.9714941329294746,0.9602200007210796,0.9523381816395596,0.951147092188867,0.9490099560834796,0.6266704677431486,0.5270250985772469,0.6359299658388674,0.5830099655470612,2.776906018656543,2.688153514644127,2.6753936719634948,2.6297921321624838
45,Cameroon,CMR,Africa,0.3281099971621576,0.3363291752443494,0.1949542536406951,0.2013469477046221,0.997135700775106,0.9898408212869648,0.9531400376646872,0.9482502946662634,0.9234399985905998,0.9625475544589316,0.9617925216619108,0.9602878030666816,0.6554996366515322,0.6277909395007834,0.6292252593918017,0.5127225989045117,2.9041853331793956,2.9165084904910294,2.7391120723590947,2.6226076443420787
46,Togo,TGO,Africa,0.2238916135981472,0.2339372756986038,0.1356765804599064,0.1375030644781712,0.9970078506312724,0.991748488355578,0.9608681986567404,0.960162373905949,0.9618999998953948,0.9617470702459808,0.9491334271649068,0.9266838310866274,0.4983619541254266,0.4013707166821686,0.5174120445004841,0.5337368605006597,2.681161418250241,2.5888035509823313,2.5630902507820377,2.5580861299714077
47,Ghana,GHA,Africa,0.3560533384880047,0.3660990005884614,0.2217757326924196,0.2190360066650223,0.9976556477998472,0.991126999843182,0.9600621610853636,0.960745129742942,0.9650999997710024,0.9593082610728336,0.957743188288286,0.9549720629855596,0.5703286456464528,0.4916224604662157,0.5933604408770052,0.5289186175173843,2.889137631705307,2.808156721970693,2.7329415229430745,2.663671816910908
48,Cote d'Ivoire,CIV,Africa,0.2977248351186665,0.3041175291825934,0.1770023200302083,0.1715228679754138,0.997037984926456,0.9901639190725262,0.9529593374754384,0.9493157113755032,0.933920001881956,0.9658623067190826,0.9647492040711776,0.9626636057689218,0.6927585232763769,0.5703855642141723,0.7074364438224033,0.6123800443467468,2.9214413452034553,2.8305293191883742,2.8021473053992274,2.6958822294665854
49,Guinea-Bissau,GNB,Africa,0.1452769267246554,0.1562358308342445,0.0616517861430404,0.0744371742708943,0.9962900992692668,0.9848718598783804,0.9279266146554604,0.8969734607426915,0.9704399988186048,0.9661282049306082,0.964246501206522,0.9609593361631948,0.5433386857195575,0.4619680877196094,0.612484938981789,0.5722155562519681,2.6553457105320843,2.5692039833628426,2.566309840986812,2.5045855274287487
50,Sierra Leone,SLE,Africa,0.2537906749178987,0.2528774329087662,0.1639390924180646,0.1630258504089322,0.9982454587409316,0.9888858418930232,0.94947933577983,0.9400555644593964,0.965499998558518,0.9578469690542766,0.9525113354312033,0.9422647992624112,0.5729077405592853,0.4593798708472718,0.5419403913622879,0.4505226393951354,2.7904438727766334,2.6589901147033377,2.6078701549913856,2.495868853525875
51,Burkina Faso,BFA,Africa,0.1664700326799449,0.1902143249173878,0.0955447010577187,0.1037638791399105,0.9975787120017224,0.98970173154909,0.9591881372499416,0.9556949296720332,0.9744700000364231,0.9537122697058994,0.9518891566900164,0.9487224965400136,0.3626058701298427,0.3564037340811753,0.5186141600879737,0.5041177397348179,2.5011246148479334,2.4900320602535526,2.5252361550856506,2.5122990450867753
52,Zambia,ZMB,Africa,0.2902553314370364,0.2765567013000501,0.1567224322529676,0.1448502861342461,0.9963824532748624,0.9896023482161532,0.9529098198379486,0.9330134352719526,0.811000003773658,0.9279535904557236,0.9278246313428108,0.9274612041903784,0.7272582190067557,0.6752781121676622,0.6412324168443614,0.4966032872232624,2.8248960074923124,2.8693907521395894,2.6786893002780885,2.5019282128198395
53,Malawi,MWI,Africa,0.3155025337975085,0.3045436296879195,0.211595664967576,0.19424406679406,0.998116261340276,0.9916728859633216,0.9577311871106332,0.9375964540543548,0.9520900011024132,0.9488338756588068,0.9486797642842776,0.9482936204667212,0.6592721893940338,0.6450630375074504,0.5844196451500085,0.4629405958043533,2.9249809856342313,2.8901134288174983,2.702426261512495,2.543074737119489
54,Mozambique,MOZ,Africa,0.3275744040908143,0.3239214360542846,0.2201856923444709,0.2064870622074847,0.9969902854778177,0.9916894943977838,0.9529385947302232,0.9307618043490336,0.9723499989360228,0.9647157675445576,0.9642120413469448,0.9631820082532806,,0.6022308755239639,0.6141608768343448,0.5353605521452786,,2.88255757352059,2.7514972052559834,2.6357914269550773
55,Eswatini,SWZ,Africa,0.4173961410167295,0.4146564149893322,0.2787621468387271,0.2751091788021974,0.9931531584035206,0.9913220750228462,0.9476429984247332,0.9187448936010952,0.7809900092090033,0.7623411794507023,0.7620822701490716,0.7614233578250417,0.7426344044904121,0.7935261694057818,0.6661415351081432,0.4496380096293278,2.9341737131196655,2.9618458388686624,2.6546289505206753,2.404915439857662
56,Angola,AGO,Africa,0.27427364179362,0.2651412217022958,0.1518814677245588,0.1427490476332346,0.9986669520774129,0.9912720448995104,0.9637242748619984,0.9532589737124922,0.9551100015536652,0.9048084971632476,0.9042270623788548,0.9029355412868598,,0.7548549595637167,0.5907531917036853,0.4795065740936794,,2.9160767233287705,2.610585996669097,2.478450136726266
57,Burundi,BDI,Africa,0.2782831352556935,0.26184477909131,0.1904649004482843,0.1950311104939464,0.997022335563198,0.9828850915067476,0.9283910420898536,0.9085853410749648,0.9738400006290956,0.9872498299309654,0.987220348186603,0.9871087665845656,0.7041956819628021,0.667697817735309,0.5965463300143108,0.4309834765081162,2.953341153410789,2.8996775182643324,2.702622620739052,2.5217086946615934
